"Id","Parameter","Enhet","Enhet (Standard)","Faktor (Standard)","Enhet (Alternativ)","Faktor (Alternativ)","Antal värdesiffror"
"143","Li","µg/l","µg/l","1,000000000000","","",""
"266","Li_F","µg/l","µg/l","1,000000000000","","",""
"305","Li_F","mg/l","µg/l","1000,000000000000","","",""
"269","MeHg","ng/l","ng/l","1,000000000000","","",""
"24","Mg","mekv/l","mg/l","12,155000000000","mekv/l","1,000000000000",""
"77","Mg","mg/l","mg/l","1,000000000000","mekv/l","0,079681275000",""
"282","Mg_F","mg/l","mg/l","1,000000000000","","",""
"25","Mn","µg/l","µg/l","1,000000000000","","",""
"69","Mn","mg/l","µg/l","1000,000000000000","","",""
"107","Mn_F","µg/l","µg/l","1,000000000000","","",""
"176","Mn_F","mg/l","µg/l","1000,000000000000","","",""
"26","Mo","µg/l","µg/l","1,000000000000","","",""
"147","Mo","mg/l","µg/l","1000,000000000000","","",""
"118","Mo_F","µg/l","µg/l","1,000000000000","","",""
"303","Mo_F","mg/l","µg/l","1000,000000000000","","",""
"27","Na","mekv/l","mg/l","22,990000000000","mekv/l","1,000000000000",""
"70","Na","mg/l","mg/l","1,000000000000","mekv/l","0,043497173000",""
"280","Na_F","mg/l","mg/l","1,000000000000","","",""
"327","Naftalen","µg/l","µg/l","1,000000000000","","",""
"371","Naftalen","ng/l","µg/l","0,001000000000","","",""
"328","NH3-N","mg/l","mg/l","1,000000000000","","",""
"28","NH4-N","µg/l","µg/l N","1,000000000000","","",""
"71","NH4-N","mg/l","µg/l N","1000,000000000000","","",""
"168","NH4-N","µg/l N","µg/l N","1,000000000000","","",""
"254","NH4-N","mg/l N","µg/l N","1000,000000000000","","",""
"396","NH4-N_F","mg/l","µg/l N","1000,000000000000","","",""
"29","Ni","µg/l","µg/l","1,000000000000","","",""
"135","Ni","mg/l","µg/l","1000,000000000000","","",""
"108","Ni_F","µg/l","µg/l","1,000000000000","","",""
"216","Ni_F","mg/l","µg/l","1000,000000000000","","",""
"31","NO2+NO3-N","µg/l","µg/l N","1,000000000000","","",""
"72","NO2+NO3-N","mg/l","µg/l N","1000,000000000000","","",""
"169","NO2+NO3-N","µg/l N","µg/l N","1,000000000000","","",""
"255","NO2+NO3-N","mg/l N","µg/l N","1000,000000000000","","",""
"30","NO2-N","µg/l","µg/l N","1,000000000000","","",""
"126","NO2-N","mg/l","µg/l N","1000,000000000000","","",""
"278","NO2-N","mg/l N","µg/l N","1000,000000000000","","",""
"279","NO2-N","µg/l N","µg/l N","1,000000000000","","",""
"54","NO3-N","µg/l","µg/l N","1,000000000000","","",""
"127","NO3-N","mg/l","µg/l N","1000,000000000000","","",""
"200","NO3-N","mg/l N","µg/l N","1000,000000000000","","",""
"202","NO3-N","µg/l N","µg/l N","1,000000000000","","",""
"84","Org-N","µg/l","µg/l N","1,000000000000","","",""
"93","Org-N","mg/l","µg/l N","1000,000000000000","","",""
